Surname,First name(s),Full name,Father's occupation,F occ grouping,Married surname,Husband's occupation,H occ grouping,Family Tree,Birthdate,Year of birth,Place of birth,Region of birth,Wikidata identifier of place,Country born,Grouped country born,Parental birthplace,Parental group,Religion,Date of death,Year of death,Place of death,Wikidata death,Region of death,Year of student registration,College,Col2,Region of College,First Qual,Group,Primary Qual,Other,1890 Location,Location 1900,Location 1905,Location 1907,Location 1908,Location 1910,Region 1910,Region 1915,Specialism,Position 1915,Region 1925,Specialism 1925,Position 1925,Missionary,India connection,China Connection,War experience,Type of war service,Obituary,Age at reg as a doctor,Age at death,Age at registration as a students,Length of study,Comments,(for Scots) Fees paid,Notes
Mackintosh,Amy Marion,Amy Marion Mackintosh,Steam Packet Agent,Dealers and Agents,Alexander,Minister,Minister,Yes,,1881,Inverness,Highlands & Islands,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1965,Edinburgh,,Scotland,1899,EMCW,Edinburgh,Scotland,1904,Edinburgh,Edinburgh,,,,,Sialkot,,,,,,,,,,CoS,"Worked, Punjab",,,,,23,84,18,5,,74.11,
MacLaren,Gertrude Duncan,Gertrude Duncan MacLaren,Solicitor,"Legal, accounts,para-legal",,,,Yes,,1888,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,,1957,Edinburgh,,Scotland,1907,ESMW2,Edinburgh,Scotland,1912,Edinburgh,Edinburgh,,,,,,,,,Edinburgh,NS,NS,,,,CoS,"Worked, Punjab",,"British Committee, French Red Cross",,,24,69,19,5,Sister of Jessie Alexandra,,
MacLaren,Jessie Alexandrina,Jessie Alexandrina MacLaren,Solicitor,"Legal, accounts,para-legal",,,,Yes,,1885,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,,1969,Edinburgh,,Scotland,1906,ESMW2,Edinburgh,Scotland,1914,Edinburgh,Edinburgh,,,,,,,,,Edinburgh,NS,NS,,,,,,,"British Committee, French Red Cross; Malta",Malta & RC,,29,84,21,8,Sister of Gertrude Duncan,,
Macleod,Elizabeth,Elizabeth Macleod,Art teacher,Teacher,,,,Yes,16 Oct 1883,1883,Brisbane,Australia,Q34932,Australia,Empire,Scotland,Scot/Scot,Presbyterian,,1942,Cornwall,,England,1905,EMCW,Edinburgh,Scotland,1910,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,27,59,22,5,,105,
Macmillan,Ada Johanna,Ada Johanna Macmillan,Dr and Minister,Medical and Minister,,,,Yes,,1874,South Africa,South Africa,,South Africa,Empire,Scotland,Scot/Scot,Dutch Reformed,,1941,Edinburgh,,Scotland,1902,EMCW,Edinburgh,Scotland,1908,Edinburgh,Edinburgh,MD Ed 1920,,,,,,,,Edinburgh,NS,NS,,,,American,Worked MP,,"Red Cross Serbia, Eastern Command 5/12",RC & RAMC,15432,34,67,28,6,,,
Macmillan,Elspeth Mary,Elspeth Mary Macmillan,Solicitor,"Legal, accounts,para-legal",Barnetson,Doctor,Medical,Yes,,1878,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,,1956,Edinburgh,,Scotland,1899,EMCW,Edinburgh,Scotland,1904,Edinburgh,Edinburgh,,,,,Joppa,,,,,,,,,,,,,,,,26,78,21,5,,,
Macmillan,Mary Bell,Mary Bell Macmillan,Farmer,Farmer,Ferguson,Doctor,Medical,Yes,,1887,Largs,SW Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,A1942,,,,1904,EMCW,Edinburgh,Scotland,1910,Edinburgh,Edinburgh,,,,,,,Yorkshire,England,,,,,,,,,,,,,23,#VALUE!,17,6,,109.4,
Macmillan,Rosanna Elizabeth,Rosanna Elizabeth Macmillan,Presbyterian Minister,Minister,Allison,,,Yes,,1888,Selkirkshire,SE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1966,Edinburgh,,Scotland,1907,EMCW,Edinburgh,Scotland,1913,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,25,78,19,6,,,
Macnaughton or McNaughton,Margaret Ferooza,Margaret Ferooza Macnaughton,Commercial Traveller,Commerce,Linton,Presbyterian Minister,Minister,Yes,,1870,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1925,Coupar Angus,,Scotland,1890,ESMW,Edinburgh,Scotland,1894,Edinburgh,Triple,,,Angus,Angus,Angus,,Angus,Scotland,Angus,NS,NS,Dundee,NS,NS,No,,,,,,24,55,20,4,,,
Macnaughton,Marjory,Marjory Macnaughton,Cashier,Official,McCartney,Doctor,Medical,Yes,9 Aug 1888,1888,Airdrie,West of Scotland,,Scotland,Scotland,Scottish,Scot/Scot,,11/07/1973,1973,Bristol,,England,1907,Edinburgh,Edinburgh,Scotland,1916,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,28,85,19,,,,
MacNeil,Celia May Colquhoun,Celia May Colquhoun MacNeil,Coalmaster,?,Stephens,Shipowner,Commerce,Yes,,1885,Prestonpans,SE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1971,Surrey,,England,1908,EMCW,Edinburgh,Scotland,1913,Edinburgh,Edinburgh,,,,,,,,,Edinburgh,NS,NS,,,,,,,,,,28,86,23,5,,,
MacRory,Elizabeth,Elizabeth MacRory,Solicitor,"Legal, accounts,para-legal",,,,Yes,,1870,Belfast,Ulster,Q10686,Ireland,Ireland,Ireland,Ir/Ir,Episcopalian,,1931,Belfast,,Ireland,1895,Belfast & EMCW,Edinburgh,Scotland,1900,Edinburgh,Edinburgh,,,,Dunfermline,Dunfermline,,,,London,DPH,Insp. Midwifery,London,DPH,MI LCC,,,,,,,30,61,25,5,,,
Madin,Annie Mackenzie,Annie Mackenzie Madin,Civil engineer,Professional,Smith,Doctor,Medical,,15 Aug 1893,1893,Leek,West Midlands,,England,England,English/Scottish,Eng/Scot,,,1975,Birmingham,,England,1911,Edinburgh,Edinburgh,Scotland,1916,Edinburgh,Edinburgh,,,,,,,,,,,,Cannock,NS,NS,,,,,,,23,82,18,,,,
Maier,Paula,Paula Maier,NK,NK,Fairburn,Architect,Legal,Yes,,1874,Stuttgart,Germany,,Germany,Other,Germany,Oth/Oth,,,1960,South Africa,,Africa,1900,EMCW,Edinburgh,Scotland,1907,Edinburgh,Edinburgh,,,,,,,,,Missing,Missing,Missing,China,NS,NS,EMMS,,Married in Tientsin,,,,33,86,26,7,,,
Maitland,Christian Davidson,Christian Davidson Maitland,Slate merchant,Commerce,Grant,Doctor,Medical,Yes,,1886,Aberdeen,NE Scotland,Q36405,Scotland,Scotland,Scotland,Scot/Scot,,,1915,At Sea off Crete,,Other,1904,EMCW,Edinburgh,Scotland,1911,Edinburgh,Edinburgh,,,,,,,,,Died,Dead,Dead,Dead,Dead,Dead,,En route to India when SS Persia was sunk,,,,,25,29,18,,,,
Marr,Jamesina Jane,Jamesina Jane Marr,Farmer,Farmer,,,,Yes,,1875,St Fergus,NE Scotland,Q2323916,Scotland,Scotland,Scotland,Scot/Scot,,,1944,Sheffield,,England,1901,EMCW,Edinburgh,Scotland,1907,Edinburgh,Edinburgh,,,,,,,,,Sheffield,DPH,NS,Sheffield,DPH,NS,,,,,,,32,69,26,6,,,
Marsh,Jane,Jane Marsh,Surgeon,Medical,,,,Yes,,1853,Bath,SW England,,England,England,England,Eng/Eng,Anglican,,1940,Huntingdon,,England,1888,EMCW,Edinburgh,Scotland,1891,Edinburgh,Triple,,,,Jodhpur,Jodhpur *,,Bikaner,India,,,,,,,Dufferin,"Worked, Rajasthan",,,,,38,87,35,3,,,
Marshall,Marion Balfour,Marion Balfour Marshall,Jeweller & Silversmith,Retail,Rockwell,Doctor,Medical,Yes,,1873,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,Congregational,,1934,USA,,America,1892,EMCW,Edinburgh,Scotland,1899,Edinburgh,Edinburgh,,,,,USA,,,,,,,,,,,,,,,,26,61,19,7,,,
Martin,Mary,Mary Martin,Minister,Minister,Turton,,,,8-5-1883,1883,Alice,Cape Colony,,South Africa,Empire,,,,09/10/1958,1958,Cape Town,,S Africa,1910,Edinburgh,Edinburgh,Scotland,1915,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,32,75,27,,,,
Massey,Ruth,Ruth Massey,Mechanical Engineer,Engineer,,,,Yes,,1873,Lancashire,NW England,,England,England,England,Eng/Eng,Baptist,,1963,Cheshire,,England,1893,EMCW,Edinburgh,Scotland,1899,Edinburgh,Edinburgh,,,,,China,,China,China,,,,,,,LMS,,LMS,,,,26,90,20,6,,,
Mayne,Christine Allison,Christine Allison Mayne,Army Major,Army Officers,,,,Yes,,1875,Inverness,Highlands & Islands,,Scotland,Scotland,Scotland,Scot/Scot,,,1938,Edinburgh,,Scotland,1892,EMCW,Edinburgh,Scotland,1898,Edinburgh,Edinburgh,,,Benares,Patna,Lucknow,,Lucknow,India,Renfrewshire,NS,Sanatorium MO,Edinburgh,NS,NS,ZBMM,"Worked, UP & Bihar",,,,,23,63,17,6,,,
McCahon,Margaret,Margaret M'Cahon,Businessman,Commerce,Roper,Land agent,Official,Yes,,1882,Canterbury,NZ,,New Zealand,Empire,Ireland,Ir/Ir,Presbyterian,,1963,NZ,,Australasia,1903,EMCW,Edinburgh,Scotland,1908,Edinburgh,Edinburgh,,,,,,,,,New Zealand,NS,"SMI Wellington, NZ",New Zealand,NS,NS,,,,,,,26,81,21,5,,,
McCloghry,Harriet Elizabeth,Harriet Elizabeth McCloghry,Farmer,Farmer,,,,Yes,,1878,"Sligo, Ireland",Connacht,,Ireland,Ireland,Ireland,Ir/Ir,CoI,,1954,Edinburgh,,Scotland,1895,EMCW,Edinburgh,Scotland,1901,Edinburgh,Edinburgh,,,,,Staffordshire,,Stafford,England,Dumfries,DPH,SMO/AMHO,Dumfries,DPH,SMO & AMOH,,,,,,,23,76,17,6,,,
McCrea,Charlotte,Charlotte McCrea,Broker,Commerce,Croly,Doctor,Medical,Yes,,1877,Glasgow,West of Scotland,Q4093,Scotland,Scotland,Ireland/England,Ir/Engl,Catholic,,A1936,,,,1895,ESMW,Edinburgh,Scotland,1900,Edinburgh,Triple,,,,Dunoon,Dunoon,,,,,,,,,,,,,,,,23,#VALUE!,18,5,,,
McDougall,Helen,Helen McDougall,Presbyterian Minister,Minister,Hendrie,Civil Servant,Official,Yes,30-11-1882,1882,Islay,NW Scotland,,Scotland,Scotland,Scottish,Scot/Scot,,27/10/1947,1947,Berkshire,,England,1910,Edinburgh,Edinburgh,Scotland,1915,Edinburgh,Edinburgh,,,,,,,,,,,,Ghana,,,,,,,,,33,65,28,,,,
McDougall,Mary Ross,Mary Ross McDougall,Free Church Minister,Minister,,,,Yes,,1867,Ross & Ctromarty,Highlands & Islands,,Scotland,Scotland,Ireland/Scotland,Ir/Scot,Presbyterian,,1934,Surrey,,England,1890,ESMW,Edinburgh,Scotland,1897,Edinburgh,Edinburgh,,,,,,,,Croydon,Croydon,NS,NS,Croydon,NS,NS,No,,,,,,30,67,23,7,,,
McElderry,Sara Lyle,Sara Lyle McElderry,Secretary,Official,,,,Yes,25 Apr 1877,1877,"Ballymoney, Antrim",Ulster,Q805450,Ireland,Ireland,Ireland,Ir/Ir,Presbyterian,,1961,Belfast,,Ireland,1895,EMCW,Edinburgh,Scotland,1900,Edinburgh,Edinburgh,,,,,Gujarat,,Bombay,India,,,,,,,,"Worked, Bombay",,,,,23,84,18,5,,,
McElney,Elizabeth,Elizabeth McElney,Schoolmaster,Teacher,Shepherd,Surgeon,Medical,Yes,23 Nov 1874,1874,"Randalstown, Antrim",Ulster,Q1249441,Ireland,Ireland,Ireland,Ir/Ir,Presbyterian,,1961,Bedfordshire,,England,1895,Belfast & EMCW,Edinburgh,Scotland,1900,Edinburgh,Edinburgh,,,,,Lancaster,,Hereford,England,Ross-on-Wye,NS,NS,Ross-on-Wye,NS,NS,,,,,,,26,87,21,5,,,
McGarrity,Margaret McNaughton,Margaret McNaughton McGarrity,Presbyterian Minister,Minister,,,,,5 Aug 1890,1890,Leadhills,West of Scotland,,Scotland,Scotland,Scottish,Scot/Scot,,29/10/1939,1939,Portobello,,Scotland,1910,Edinburgh,Edinburgh,Scotland,1916,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,26,49,20,,,,
McGregor,Beatrice Anne,Beatrice Anne McGregor,Silk Mercer,Retail,,,,Yes,,1873,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,,1953,Sussex,,England,1892,ESMW,Edinburgh,Scotland,1898,Edinburgh,Edinburgh,,,Edinburgh,Edinburgh,,,London,London,Clapham,Obst&Gyn,"OP Physician, Clapham maternity hosptial",Wimbledon,NS,NS,No,,,Mladanovatz 1-Jul-15 1-Nov-15,SWHFS,,25,80,19,6,,,
McGregor,Marjorie Isobel Stuart,Marjorie Isobel Stuart McGregor,Tailor & Clothier,Trade,Wood,Stock buyer,Agent,Yes,13-1-1893,1893,Edinburgh,SE Scotland,,Scotland,Scotland,Scottish,Scot/Scot,,,1968,Christchurch,,New Zealand,1911,Edinburgh,Edinburgh,Scotland,1916,Edinburgh,Edinburgh,,,,,,,,,,,,"Canterbury, NZ",NS,NS,,,,,,,23,75,18,,,,
McGregor,Robina,Robina McGregor,Free Church Minister,Minister,Harlin,Doctor,Medical,Yes,26 Jan 1874,1874,"Monifieth, Angus",Central Scotland,Q3179174,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1960,Australia,,Australasia,1892,EMCW,Edinburgh,Scotland,1899,Edinburgh,Edinburgh,MD Ed 1907,,,,Hull,,Australia,Australia,Australia,NS,NS,Australia,NS,NS,No,,,,,,25,86,18,7,,6.16,
McKeand,Isabel Nivison,Isabel Nivison McKeand,Farmer,Farmer,Muller,Doctor,Medical,Yes,,1879,"Scoor, Mull",West of Scotland,Q108367102,Scotland,Scotland,England/Scotland,Eng/Scot,,,1934,South Africa,,Africa,1897,ESMW & EMCW,Edinburgh,Scotland,1902,Edinburgh,Edinburgh,,,,,"Cape Colony, South Africa",,,,,,,,,,,,,,,,23,55,18,5,,8.8,
McLaren,Clara Violet,Clara Violet McLaren,Indian Broker,Commerce,Kelynack,Physician,Medical,Yes,,1875,Calcutta,India,Q1348,India,India & Ceylon,Scotland/England,Scot/Engl,Anglican,,1940,Hertfordshire,,England,1896,EMCW,Edinburgh,Scotland,1903,Edinburgh,Edinburgh,,,,,London,,,,,,,,,,,Born,,,,14793,28,65,21,7,,33.12,
McLaren,Harriet Joanna Campbell,Harriet Joanna Campbell McLaren,Surgeon,Medical,Wilkie,Estate agent,Official,Yes,,1878,Stirlingshire,Central Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1964,Fiji,,Pacific,1895,EMCW,Edinburgh,Scotland,1900,Edinburgh,Edinburgh,,,,,Lucknow,,Bettiah,India,India,NS,Dufferin,India,NS,Dufferin,Dufferin,"Worked, UP 1903-17 + 1920s",,QMAAC 1917-19,,,22,86,17,5,,,
McLullich,Isobel Mary,Isobel Mary McLullich,Solicitor,Professional,Scott,Medical,Medical,Yes,6-3-1893,1893,Inverary,NW Scotland,,Scotland,Scotland,Scottish,Scot/Scot,,03-Sep-81,1981,Victoria,,Australia,1911,Edinburgh,Edinburgh,Scotland,1916,Edinburgh,Edinburgh,,,,,,,,,,,,London,NS,NS,,,,,,,23,88,18,,,,
McMillan,Helen Meldrum,Helen Meldrum McMillan,Free Church Minister,Minister,,,,Yes,,1883,Fifeshire,Central Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1979,Bargrennan,,Scotland,1900,EMCW,Edinburgh,Scotland,1907,Edinburgh,Edinburgh,,,,,,,Ajmer,India,,,,,,,UFCofS WFMS,"Worked, Rajasthan",,,,,24,96,17,7,,89.5,
McMinn,Jean Martin,Jean Martin McMinn,Iron Merchant,Retail,,,,Yes,May 1890,1890,"Campbelltown, Argyllshire",West of Scotland,Q1012490,Scotland,Scotland,Scotland,Scot/Scot,,,1955,Edinburgh,,Scotland,1907,EMCW,Edinburgh,Scotland,1914,Edinburgh,Edinburgh,,,,,,,,,London,NS,"JRMO, Out-patients, Hampstead & NW London",,China,NS,Mission Hospital,,Worked 1925 on,,,,24,65,17,7,,66.3,
McMordie,Sarah Brown,Sarah Brown McMordie,Collar Factory manaager,Manufacturer,Keers,Presbyterian Minister,Minister,Yes,,1873,Belfast,Ulster,Q10686,Ireland,Ireland,Ireland,Ir/Ir,Presbyterian,,1957,Belfast,,Ireland,1892,EMCW,Edinburgh,Scotland,1895,Edinburgh,Triple,,,,Chin-Chon,China,,China,China,China,NS,Mission hospital,China,NS,Mission hospital,Irish Presbyterian,,Irish Presby,,,,22,84,19,3,,,
Menzies,Mary Jenny,Mary Jenny Menzies,Art teacher,Teacher,,,,,,1875,"Wakefield, Yorks W",NE England,,England,England,Scotland,Scot/Scot,Non-conformist,,1925,Edinburgh,,Scotland,1894,EMCW,Edinburgh,Scotland,1900,Edinburgh,Edinburgh,,,,,Edinburgh,,,,Edinburgh,NS,"Inspector, Local Government Board for Scotland",,,,,,,,,,25,50,19,6,,?,
Meredith,Alice,Alice Meredith,Settler,Farmer,Burn,Teacher,Teacher,Yes,,1871,Canterbury,NZ,,New Zealand,Empire,England/Scotland,Eng/Scot,,,1949,Co. Down,,Ireland,1903,EMCW,Edinburgh,Scotland,1906,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,18172,35,78,32,3,,123.18,
Meredith,Eva Maud,Eva Maud Meredith,Settler,Farmer,Clements,Doctor,Medical,Yes,,1869,Canterbury,NZ,,New Zealand,Empire,England/Scotland,Eng/Scot,,,1946,Bangor Co. Down,,Ireland,1903,Edinburgh,Edinburgh,Scotland,1908,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,39,77,34,5,,113.9,
Miller,Ada Elizabeth,Ada Elizabeth Miller,Free Church Minister,Minister,,,,Yes,,1881,Duns,SE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1952,Edinburgh,,Scotland,1900,EMCW,Edinburgh,Scotland,1907,Edinburgh,Edinburgh,MD Ed 1911,,,,,,,,Edinburgh,DPH,NS,Edinburgh,DPH,MO & Lect in Hygiene,,,,,,,26,71,19,7,,107.2,
Miller,Margaret Mair,Margaret Mair Miller,Spirit Merchant,Retail,East,Doctor,Medical,,,1885,Coulter,West of Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1964,Edinburgh,,Scotland,1902,EMCW,Edinburgh,Scotland,1907,Edinburgh,Edinburgh,,,,,,,York,England,,,,,,,,,,,,,22,79,17,5,,116.11,
Mills,Aimee Evelyn,Aimee Evelyn Mills,Valuer,Commerce,Gibbs,Dentist,Paramedical,Yes,,1867,Nelson,NZ,,New Zealand,Empire,Australia,Oth/Oth,Quaker,,1941,Somerset,,England,1899,EMCW,Edinburgh,Scotland,1904,Edinburgh,Edinburgh,,,,,Edinburgh,,,,,,,,,,,,,,,,37,74,32,5,"1899 in Auckland, 1901 in UK",,
Mitchell,Isabella Henrietta,Isabella Henrietta Mitchell,Railway agent,Agent,,,,Yes,25 Dec 1883,1883,London,London,,England,England,Scottish,Scot/Scot,,,,,,,1910,Edinburgh,Edinburgh,Scotland,1915,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,32,-1883,27,,Mother was a schoolteacher,,
Monro,Margaret Penelope,Margaret Penelope Monro,Bengal Civil Service,Government official,Neill,Missionary,Minister,Yes,,1870,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1952,India,,S Asia,1891,EMCW,Edinburgh,Scotland,1895,Edinburgh,Triple,,,Ranaghat,,France,,,Cheltenham,NS,NS,NS,,,,Ranaghat,"Worked, Bengal",,,,,25,82,21,4,,,
Montgomery,Eleanor Agnes,Eleanor Agnes Montgomery,Presbyterian Minister,Minister,,,,Yes,,1871,Bangor,Ulster,,Ireland,Ireland,Ireland,Ir/Ir,Presbyterian,,1954,Ulster,,Ireland,1890,ESMW,Edinburgh,Scotland,1894,Edinburgh,Triple,,,Borsad,Borsad,Broach,,Broach,India,India,NS,Mission hospital,London,NS,NS,EMMS/Irish Presbyterian,"Worked, Bombay",,,,,23,83,19,4,,,
Moorhead,Alice Margaret,Alice Margaret Moorhead,Army surgeon,Medical,Langwill,Doctor,Medical,Yes,,1868,Maidstone,SE England,,England,England,Ireland,Ir/Ir,,,1910,Edinburgh,,Scotland,1887,ESMW,Edinburgh,Scotland,1891,Edinburgh,Triple,,,Dundee,Dundee,,,,,,,,,,,,Siblings born in India,,,,,23,42,19,4,,,
Morison,Isabella,Isabella Morison,Presbyterian Missionary,Minister,Stancliff,Merchant Navy,Official,,,1892,Glasgow,West of Scotland,,Scotland,Scotland,Scottish,Scot/Scot,,,1980,New Zealand,,New Zealand,1910,Edinburgh,Edinburgh,Scotland,1916,Edinburgh,Edinburgh,,,,,,,,,,,,India,NS,Missionary Hospital,English Presbyterian,"Worked, Rajshahi",,,,,24,88,18,,,,
Morrison,Flora,Flora Morrison,Stationer,Retail,Shepherd,Doctor,Medical,Yes,,1882,Auckland,NZ,Q37100,New Zealand,Empire,Scotland/England,Scot/Engl,Presbyterian,,1963,Oxfordshire,,England,1903,Glasgow & EMCW,Edinburgh,Scotland,1908,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,26,81,21,5,,,
Mouat,Janet Ainslie Shiells,Janet Ainslie Shiells Mouat,Maltster,Manufacturer,,,,Yes,,1867,Haddington,SE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,1951,Devon,,England,1894,EMCW,Edinburgh,Scotland,1900,Edinburgh,Edinburgh,,,,,Leith,,,,Edinburgh,DPH,"Hon MO, Grove St Dispensary",,,,,,,,,,33,84,27,6,,,
Muir,Lucy Mary,Lucy Mary Muir,Inland Revenue Excise Officer,Government official,Brunton,Doctor,Medical,Yes,,1887,Orkney,Highlands & Islands,,Scotland,Scotland,Scotland,Scot/Scot,Episcopalian,,1966,Orkney,,Scotland,1905,EMCW,Edinburgh,Scotland,1911,Edinburgh,Edinburgh,,,,,,,,,Edinburgh,NS,NS,,,,,,,,,,24,79,18,6,,,
Muirhead,Winifred,Winifred Muirhead,Wine Merchant,Retail,Montgomery,Doctor,Medical,Yes,,1876,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,,1946,South Africa,,Africa,1894,EMCW,Edinburgh,Scotland,1899,Edinburgh,Triple,,,,,Stirling,,,,,,,,,,,,,,,,23,70,18,5,,,
Mulholland,Anna Mary,Anna Mary Mulholland,Schoolmaster,Teacher,Mercer,Doctor,Medical,Yes,,1881,Derry,Ulster,,Ireland,Ireland,Ireland,Ir/Ir,CoI,,1976,USA,,America,1899,EMCW,Edinburgh,Scotland,1904,Edinburgh,Triple,,,,,Barrow,,Chicago,USA,,,,,,,,,,,,,23,95,18,5,,,
Muncaster,Anna Lilianne,Anna Lilianne Muncaster,Inland Revenue Excise Officer,Government official,,,,Yes,,1886,Beauly,Highlands & Islands,,Scotland,Scotland,England/Scotland,Eng/Scot,,,1930,South Africa,,Africa,1903,EMCW,Edinburgh,Scotland,1909,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,America Unit 4-Aug-16 1-May-18,SWHFS,,23,44,17,6,,105,
Murchison,Ara Gray,Ara Gray Murchison,Tea merchant/ commercial ttraveller,Retail,,,,Yes,,1883,Edinburgh,SE Scotland,Q23436,Scotland,Scotland,Scotland,Scot/Scot,,,1913,Edinburgh,,Scotland,1902,EMCW,Edinburgh,Scotland,1907,Edinburgh,Edinburgh,,,,,,Edinburgh,Huddersfield,England,Dead,,,,,,,,,,,,24,30,19,5,,,
Murdoch,Rhoda May,Rhoda May Murdoch,Presbyterian Minister,Minister,,,,Yes,,1887,Ayrshire,SW Scotland,,Scotland,Scotland,Scotland,Scot/Scot,Presbyterian,,1972,Preston,,England,1904,EMCW,Edinburgh,Scotland,1910,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,23,85,17,6,,90.6,
Murray,Janet Marr,Janet Marr Murray,Steam Boat Manager,Commerce,,,,Yes,23 Sep 1879,1879,"Campbelltown, Argyllshire",West of Scotland,Q1012490,Scotland,Scotland,Scotland,Scot/Scot,Anglican,21991,1960,Ayrshire,,Scotland,1900,EMCW,Edinburgh,Scotland,1906,Edinburgh,Edinburgh,,,,,Doncaster,,Sheffield,England,,,,,,,No,,,,,,27,81,21,6,,94.12,
Nannetti,Mary Finch,Mary Finch Nannetti,Wine merchant,Retail,,,,Yes,,1871,London,London,Q84,England,England,England/Scotland,Eng/Scot,Anglican,,1946,Troon,,Scotland,1891,EMCW,Edinburgh,Scotland,1897,Edinburgh,Triple,,,,,Kirkmichael,,,Ayrshire,Ayrshire,Obst&Gyn,NS,Ayrshire,NS,NS,No,,,,,,26,75,20,6,,,
Naoroji,Meher Ardeshir Dadabhai,Meher Ardeshir Dadabhai  Naoroji,Doctor,Medical,,,,Yes,10 Oct 1881,1881,Bombay,India,Q1156,India,India & Ceylon,Indian,SA/SA,Parsi,,1974,India,,S Asia,1901,EMCW,Edinburgh,Scotland,1906,Edinburgh,Edinburgh,Bombay,,,,,,Bombay,India,,,,,,,,"Born & Worked, Bombay",,,,,25,93,20,5,,,
Nash,Louisa Charlotte,Louisa Charlotte Nash,Master Mariner then Advocate,Army Officers,,,,Yes,,1853,Bombay,India,Q1156,India,India & Ceylon,Anglo-Indian,SA/SA,Anglican,,1928,Karachi,,S Asia,1888,ESMW & EMCW,Edinburgh,Scotland,1894,Edinburgh,Triple,,,,Karachi,Karachi,,Karachi,Karachi,Karachi,NS,NS,Karachi,NS,NS,Dufferin,"Born & Worked, Sindh",,,,,41,75,35,6,,,
Neild,Edith,Edith Neild,Surgeon,Medical,,,,Yes,,1874,Plymouth,SW England,,England,England,England/Scotland,Eng/Scot,Quaker,,1927,Sussex,,England,1892,ESMW,Edinburgh,Scotland,1898,Edinburgh,Triple,,,,,,,,Kent,Tunbridge Wells,NS,NS,Tunbridge Wells,NS,NS,No,,,,,46692,24,53,18,6,,,
Neilson or Nelson,Katherine Beatson Arbuckle,Katherine Beatson Arbuckle Neilson or Nelson,Farmer,Farmer,McNeill,Doctor,Medical,Yes,22 July 1884,1884,Innerwick,SE Scotland,,Scotland,Scotland,Scotland,Scot/Scot,,,A1940,,,,1902,Edinburgh,Edinburgh,Scotland,1908,Edinburgh,Edinburgh,,,,,,,,,,,,,,,,,,,,,24,#VALUE!,18,6,,113.8,
Newton,Jeanie or Jessie,Jeanie or Jessie Newton,NK,NK,,,,Yes,10-Jun-1873,1873,Mussoorie,India,,India,India & Ceylon,NK,NK/NK,,,A1926,,,,1895,EMCW,Edinburgh,Scotland,1901,Edinburgh,Triple,,,,,"Kotah, Rajputana",,Kotah,India,,,,,,,Dufferin,"Born & Worked, Rajputana",,,,,28,#VALUE!,22,6,,,
Northcroft,Hilda Margaret,Hilda Margaret Northcroft,"Soldier, judge",Army Officers,,,,Yes,22 Apr 1882,1882,Hamilton,NZ,,New Zealand,Empire,England/Canadian,Eng/Oth,Anglican,18783,1951,NZ,,Australasia,1902,Edinburgh,Edinburgh,Scotland,1908,Edinburgh,Edinburgh,,,,,,,Bingley,England,Stafford,NS,PP Dawes & Northcroft,New Zealand,NS,NS,,,,,,,26,69,20,6,,,
O'Connor,Caroline Elizabeth,Caroline Elizabeth O'Connor,Land Agent,Dealers and Agents,,,,Yes,,1866,"Longford, Ireland",Leinster,,Ireland,Ireland,Ireland,Ir/Ir,CoI,,1922,Essex,,England,1895,EMCW,Edinburgh,Scotland,1900,Edinburgh,Edinburgh,,,,,Birmingham,,,,,,,,,,,,,,,44986,34,56,29,5,,,
